,name,country,gross,genre,year,star,runtime,score,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
461,Harlem Nights,USA,60864870.0,Comedy,1989,Eddie Murphy,116,5.9,R,Rotten,21,34,Upright,80.0,14,7,27
4891,The Expendables 3,USA,39322544.0,Action,2014,Sylvester Stallone,126,6.1,PG-13,Rotten,32,168,Spilled,49.0,40,53,115
2806,The Core,USA,31186896.0,Action,2003,Aaron Eckhart,135,5.5,PG-13,Rotten,40,156,Spilled,34.0,34,63,93
1638,Carpool,USA,3308758.0,Comedy,1996,Tom Arnold,89,4.9,PG,Rotten,13,23,Spilled,39.0,9,3,20
1308,River of Grass,USA,8534.0,Drama,1994,Lisa Bowman,76,6.5,NR,Fresh,94,16,Upright,60.0,5,15,1
4549,The Words,USA,11494838.0,Drama,2012,Bradley Cooper,102,7.1,PG-13,Rotten,24,125,Spilled,49.0,35,30,95
3376,Happy Feet,USA,198000317.0,Animation,2006,Elijah Wood,108,6.5,PG,Certified Fresh,76,166,Upright,70.0,45,126,40
553,Flatliners,USA,61490000.0,Drama,1990,Kiefer Sutherland,115,6.6,PG-13,Rotten,4,76,Spilled,33.0,15,3,73
3116,Brokeback Mountain,USA,83043761.0,Drama,2005,Jake Gyllenhaal,134,7.7,R,Certified Fresh,87,242,Upright,82.0,53,211,31
572,Awakenings,USA,52096475.0,Biography,1990,Robert De Niro,121,7.8,PG-13,Fresh,88,33,Upright,89.0,4,29,4
2534,Dr. Dolittle 2,USA,112952899.0,Comedy,2001,Eddie Murphy,87,4.7,PG,Rotten,42,106,Spilled,26.0,33,44,62
2298,Shadow of the Vampire,UK,8279017.0,Drama,2000,John Malkovich,92,6.9,R,Certified Fresh,82,138,Upright,74.0,36,113,25
1557,The Quest,USA,21600000.0,Action,1996,Jean-Claude Van Damme,95,5.5,PG-13,Rotten,14,21,Spilled,36.0,5,3,18
4070,The Messenger,USA,66637.0,Drama,2009,Ben Foster,113,7.2,NR,Fresh,83,12,Upright,60.0,6,10,2
4989,Calvary,Ireland,3593460.0,Drama,2014,Brendan Gleeson,102,7.4,R,Certified Fresh,90,165,Upright,80.0,44,148,17
1178,Reality Bites,USA,20982557.0,Comedy,1994,Winona Ryder,99,6.6,PG-13,Fresh,66,56,Upright,74.0,17,37,19
4704,The World's End,UK,26004851.0,Action,2013,Simon Pegg,109,7.0,R,Certified Fresh,89,235,Upright,71.0,50,209,26
3791,Nick and Norah's Infinite Playlist,USA,31487293.0,Comedy,2008,Michael Cera,90,6.7,PG-13,Certified Fresh,74,184,Upright,65.0,46,137,47
4682,Gravity,UK,274092705.0,Drama,2013,Sandra Bullock,91,7.8,PG-13,Certified Fresh,96,346,Upright,80.0,61,331,15
544,Cookie,USA,1869417.0,Comedy,1989,Peter Falk,94,5.2,R,Rotten,17,12,Spilled,39.0,1,2,10
3651,Stomp the Yard,USA,61356221.0,Drama,2007,Columbus Short,100,5.3,PG-13,Rotten,25,89,Upright,82.0,34,22,67
3867,Welcome to the Sticks,France,1477650.0,Comedy,2008,Kad Merad,106,7.1,NR,Fresh,67,9,Upright,78.0,2,6,3
1334,Waterworld,USA,88246220.0,Action,1995,Kevin Costner,135,6.1,PG-13,Rotten,45,58,Spilled,43.0,12,26,32
1719,Good Burger,USA,23687907.0,Comedy,1997,Kel Mitchell,95,5.7,PG,Rotten,32,38,Upright,63.0,15,12,26
