,name,country,gross,genre,year,star,runtime,score,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
296,Mississippi Burning,USA,34603943.0,Crime,1988,Gene Hackman,128,7.8,R,Fresh,87,23,Upright,90.0,6,20,3
517,Blaze,USA,19131246.0,Biography,1989,Paul Newman,120,5.9,R,Certified Fresh,95,88,Unknown,60.47082875625534,22,84,4
5080,Creed,USA,109767581.0,Drama,2015,Michael B. Jordan,133,7.6,PG-13,Certified Fresh,95,296,Upright,89.0,53,282,14
3630,In the Land of Women,USA,11043445.0,Comedy,2007,Adam Brody,97,6.5,PG-13,Rotten,44,117,Spilled,52.0,39,51,66
5196,Freeheld,USA,532988.0,Biography,2015,Julianne Moore,103,6.5,PG-13,Rotten,49,136,Spilled,54.0,38,66,70
1550,The Phantom,USA,17300889.0,Action,1996,Billy Zane,100,4.9,PG,Rotten,42,45,Spilled,31.0,12,19,26
2717,The Magdalene Sisters,Ireland,4890878.0,Drama,2002,Eileen Walsh,114,7.8,R,Certified Fresh,91,149,Upright,89.0,43,135,14
687,Graffiti Bridge,USA,4562778.0,Drama,1990,Prince,95,4.3,PG-13,Rotten,19,27,Spilled,40.0,10,5,22
2923,The Notebook,USA,81001787.0,Drama,2004,Gena Rowlands,123,7.9,R,Fresh,67,36,Upright,67.0,17,24,12
2349,Brother,USA,447750.0,Crime,2000,Takeshi Kitano,114,7.2,R,Rotten,47,74,Upright,79.0,22,35,39
522,The Gods Must Be Crazy II,South Africa,6291444.0,Comedy,1989,N!xau,98,6.8,PG,Rotten,54,13,Upright,70.0,3,7,6
1157,Morning Glory,USA,21647.0,Drama,1993,Christopher Reeve,96,6.6,PG-13,Rotten,55,178,Spilled,51.0,49,98,80
5313,Paterson,USA,2141423.0,Comedy,2016,Adam Driver,118,7.4,R,Certified Fresh,96,248,Upright,71.0,44,238,10
1338,Tank Girl,USA,4064333.0,Action,1995,Lori Petty,104,5.3,R,Rotten,38,39,Upright,63.0,12,15,24
1565,Foxfire,USA,258263.0,Drama,1996,Hedy Burress,102,6.2,R,Rotten,27,11,Upright,65.0,4,3,8
3395,The Marine,USA,18843314.0,Action,2006,John Cena,92,4.7,PG-13,Rotten,20,46,Upright,60.0,15,9,37
1968,The Mighty,USA,2643689.0,Comedy,1998,Kieran Culkin,100,7.3,PG-13,Certified Fresh,75,40,Upright,79.0,7,30,10
4991,The November Man,USA,24984868.0,Action,2014,Pierce Brosnan,108,6.3,R,Rotten,34,128,Spilled,46.0,30,44,84
446,The 'Burbs,USA,36602000.0,Comedy,1989,Tom Hanks,101,6.9,PG,Rotten,53,38,Upright,71.0,11,20,18
4005,A Christmas Carol,USA,137855863.0,Animation,2009,Jim Carrey,96,6.8,G,Fresh,100,12,Upright,74.0,0,12,0
1612,Citizen Ruth,USA,153155.0,Comedy,1996,Laura Dern,106,7.0,R,Fresh,81,26,Upright,74.0,6,21,5
2947,The Life Aquatic with Steve Zissou,USA,24006726.0,Adventure,2004,Bill Murray,119,7.3,R,Rotten,56,222,Upright,82.0,51,124,98
5381,The Darkness,USA,10732841.0,Horror,2016,Kevin Bacon,92,4.4,PG-13,Rotten,3,32,Spilled,19.0,5,1,31
2502,The Tailor of Panama,USA,13729742.0,Comedy,2001,Pierce Brosnan,109,6.1,R,Certified Fresh,77,116,Spilled,46.0,36,89,27
3562,Resident Evil: Extinction,France,50648679.0,Action,2007,Milla Jovovich,94,6.3,R,Rotten,24,99,Spilled,58.0,18,24,75
1642,Surviving Picasso,USA,2002000.0,Biography,1996,Anthony Hopkins,125,6.4,R,Rotten,32,19,Upright,60.0,7,6,13
3164,Four Brothers,USA,74494381.0,Action,2005,Mark Wahlberg,109,6.9,R,Rotten,52,134,Upright,80.0,35,70,64
4388,Take Me Home Tonight,USA,6923891.0,Comedy,2011,Topher Grace,100,6.3,R,Rotten,27,113,Spilled,42.0,34,31,82
4125,Salt,USA,118311368.0,Action,2010,Angelina Jolie,100,6.4,PG-13,Fresh,62,242,Spilled,59.0,52,151,91
2061,Tarzan,USA,171091819.0,Animation,1999,Tony Goldwyn,88,7.2,PG,Rotten,20,30,Spilled,33.0,5,6,24
2519,Antitrust,USA,10965209.0,Action,2001,Ryan Phillippe,105,6.1,PG-13,Rotten,24,106,Spilled,50.0,32,25,81
3483,Infamous,USA,1150403.0,Biography,2006,Toby Jones,110,7.1,R,Fresh,73,152,Upright,69.0,48,111,41
5184,The Family Fang,USA,240067.0,Comedy,2015,Jason Bateman,105,6.1,R,Certified Fresh,83,80,Spilled,47.0,26,66,14
1545,Marvin's Room,USA,12782508.0,Drama,1996,Meryl Streep,98,6.7,PG-13,Certified Fresh,84,50,Upright,63.0,16,42,8
834,Edward II,UK,694438.0,Drama,1991,Steven Waddington,87,7.0,R,Fresh,100,10,Upright,76.0,1,10,0
3035,First Daughter,USA,9055010.0,Comedy,2004,Katie Holmes,100,5.0,PG,Rotten,8,86,Spilled,43.0,28,7,79
4361,The Ides of March,USA,40962534.0,Drama,2011,Paul Giamatti,101,7.1,R,Certified Fresh,84,237,Upright,73.0,51,199,38
3509,August Rush,USA,31655091.0,Drama,2007,Freddie Highmore,114,7.5,PG,Rotten,36,125,Upright,82.0,36,45,80
1573,Black Sheep,New Zealand,82987.0,Comedy,2006,Oliver Driver,87,5.8,PG-13,Rotten,28,32,Upright,70.0,6,9,23
5091,Focus,USA,53862963.0,Comedy,2015,Will Smith,105,6.6,R,Rotten,56,219,Spilled,53.0,52,123,96
275,Child's Play,USA,33244684.0,Horror,1988,Catherine Hicks,87,6.6,R,Fresh,68,37,Upright,63.0,6,25,12
4771,The Book Thief,USA,21488481.0,Drama,2013,Sophie Nélisse,131,7.6,PG-13,Rotten,47,146,Upright,73.0,42,68,78
4578,Stolen,USA,304318.0,Action,2012,Nicolas Cage,96,5.5,NR,Fresh,67,27,Spilled,47.0,17,18,9
5076,Black Mass,USA,62575678.0,Biography,2015,Johnny Depp,123,6.9,R,Certified Fresh,73,280,Upright,68.0,52,204,76
4631,The Devil Inside,USA,53261944.0,Horror,2012,Fernanda Andrade,83,4.2,R,Rotten,6,87,Spilled,22.0,19,5,82
745,Hudson Hawk,USA,17218080.0,Action,1991,Bruce Willis,100,5.8,R,Rotten,26,34,Spilled,57.0,5,9,25
4934,Big Eyes,USA,14479776.0,Biography,2014,Amy Adams,106,7.0,PG-13,Fresh,72,185,Upright,68.0,41,133,52
3000,Raise Your Voice,USA,10411980.0,Family,2004,Hilary Duff,100,5.9,PG,Rotten,15,85,Upright,71.0,31,13,72
5186,Miss You Already,UK,1162653.0,Comedy,2015,Drew Barrymore,112,6.8,PG-13,Fresh,71,115,Upright,68.0,29,82,33
161,Jaws: The Revenge,USA,20763013.0,Adventure,1987,Lorraine Gary,89,2.9,PG-13,Rotten,0,35,Spilled,15.0,13,0,35
4798,Delivery Man,USA,30664106.0,Comedy,2013,Vince Vaughn,105,6.4,PG-13,Rotten,40,144,Spilled,47.0,36,57,87
5362,Collide,UK,2280004.0,Action,2016,Nicholas Hoult,99,5.7,PG-13,Rotten,21,39,Spilled,35.0,6,8,31
1004,The Firm,USA,158348367.0,Drama,1993,Tom Cruise,154,6.8,R,Certified Fresh,75,55,Upright,64.0,11,41,14
2202,Molly,USA,15593.0,Comedy,1999,Elisabeth Shue,102,5.8,PG-13,Rotten,14,22,Spilled,53.0,7,3,19
648,Mr. Destiny,USA,15379253.0,Comedy,1990,Jim Belushi,110,6.3,PG-13,Rotten,38,16,Spilled,56.0,3,6,10
449,My Left Foot,Ireland,14743391.0,Biography,1989,Daniel Day-Lewis,103,7.9,R,Fresh,97,36,Upright,92.0,7,35,1
2076,Bicentennial Man,USA,58220776.0,Comedy,1999,Robin Williams,132,6.8,PG,Rotten,36,96,Spilled,58.0,25,35,61
4536,The Expendables 2,USA,85017401.0,Action,2012,Sylvester Stallone,103,6.6,R,Fresh,68,130,Upright,67.0,27,88,42
2009,Edge of Seventeen,USA,870751.0,Comedy,1998,Chris Stafford,99,6.8,R,Fresh,75,16,Upright,72.0,5,12,4
3757,Bolt,USA,114053579.0,Animation,2008,John Travolta,96,6.9,PG,Certified Fresh,89,183,Upright,74.0,44,163,20
3130,Hitch,USA,179495555.0,Comedy,2005,Will Smith,118,6.6,PG-13,Fresh,68,183,Upright,62.0,38,124,59
4421,Puss in Boots,USA,149260504.0,Animation,2011,Antonio Banderas,90,6.7,PG,Certified Fresh,85,150,Upright,67.0,29,128,22
245,Tin Men,USA,25411386.0,Comedy,1987,Richard Dreyfuss,112,6.5,R,Fresh,81,21,Upright,63.0,1,17,4
5205,The Meddler,USA,4265673.0,Comedy,2015,Susan Sarandon,103,6.3,PG-13,Certified Fresh,85,143,Spilled,56.0,38,121,22
2982,Meet the Fockers,USA,279261160.0,Comedy,2004,Ben Stiller,115,6.3,PG-13,Rotten,39,162,Spilled,58.0,42,63,99
1621,The Chamber,USA,14551359.0,Crime,1996,Chris O'Donnell,113,6.0,NR,Rotten,36,14,Spilled,16.0,3,5,9
482,Next of Kin,USA,15942628.0,Action,1989,Patrick Swayze,108,5.7,R,Rotten,56,9,Spilled,44.0,0,5,4
2033,The Mummy,USA,155247825.0,Action,1999,Brendan Fraser,124,7.0,NR,Fresh,93,28,Upright,72.0,5,26,2
4219,Don't Be Afraid of the Dark,USA,24042490.0,Fantasy,2010,Katie Holmes,99,5.6,NR,Fresh,67,6,Spilled,58.0,0,4,2
3289,Dreamer: Inspired by a True Story,USA,32701088.0,Drama,2005,Kurt Russell,106,6.9,PG,Fresh,64,117,Upright,78.0,33,75,42
1190,Little Giants,USA,19288821.0,Comedy,1994,Rick Moranis,107,6.3,PG,Rotten,36,11,Upright,63.0,1,4,7
3125,Elektra,Canada,24409722.0,Action,2005,Jennifer Garner,97,4.8,PG-13,Rotten,11,165,Spilled,29.0,42,18,147
4580,Contraband,USA,66528000.0,Action,2012,Mark Wahlberg,109,6.5,NR,Fresh,100,6,Upright,68.0,1,6,0
2060,Tarzan,USA,171091819.0,Animation,1999,Tony Goldwyn,88,7.2,G,Certified Fresh,89,105,Upright,75.0,28,93,12
4152,Edge of Darkness,UK,43313890.0,Crime,2010,Mel Gibson,117,6.6,R,Rotten,56,213,Spilled,49.0,45,119,94
1110,Mad Dog and Glory,USA,11081586.0,Comedy,1993,Robert De Niro,97,6.2,R,Fresh,77,30,Spilled,46.0,8,23,7
4547,House at the End of the Street,Canada,31611916.0,Drama,2012,Jennifer Lawrence,101,5.6,PG-13,Rotten,12,65,Spilled,41.0,14,8,57
872,School Ties,USA,14715067.0,Drama,1992,Brendan Fraser,106,6.9,PG-13,Fresh,60,40,Upright,69.0,9,24,16
24,Iron Eagle,USA,24159872.0,Action,1986,Louis Gossett Jr.,117,5.3,PG-13,Rotten,20,5,Spilled,56.0,1,1,4
5113,Knight of Cups,USA,558402.0,Drama,2015,Christian Bale,118,5.7,R,Rotten,47,174,Spilled,37.0,46,81,93
3523,American Gangster,USA,130164645.0,Biography,2007,Denzel Washington,157,7.8,R,Certified Fresh,80,214,Upright,87.0,54,172,42
3637,Wind Chill,USA,20146.0,Drama,2007,Emily Blunt,91,5.9,R,Rotten,46,24,Spilled,31.0,9,11,13
4903,Seventh Son,USA,17223265.0,Action,2014,Ben Barnes,102,5.5,PG-13,Rotten,11,117,Spilled,34.0,33,13,104
3268,Venom,USA,881745.0,Horror,2005,Agnes Bruckner,87,4.7,R,Rotten,11,62,Spilled,21.0,22,7,55
5353,Buster's Mal Heart,USA,72622.0,Drama,2016,Rami Malek,96,5.9,NR,Fresh,72,47,Spilled,57.0,15,34,13
4788,Contracted,USA,4105.0,Drama,2013,Najarra Townsend,84,5.3,NR,Rotten,53,17,Spilled,29.0,4,9,8
3919,Orphan,USA,41596251.0,Horror,2009,Vera Farmiga,123,7.0,R,Rotten,56,153,Upright,63.0,39,85,68
3095,Barbershop 2: Back in Business,USA,65111277.0,Comedy,2004,Ice Cube,106,5.7,PG-13,Fresh,69,125,Spilled,48.0,38,86,39
776,Not Without My Daughter,USA,14789113.0,Drama,1991,Sally Field,116,6.2,PG-13,Rotten,50,16,Upright,71.0,3,8,8
5316,Hunt for the Wilderpeople,New Zealand,5202582.0,Adventure,2016,Sam Neill,101,7.9,NR,Certified Fresh,96,193,Upright,91.0,34,186,7
1031,Sliver,USA,36300000.0,Drama,1993,Sharon Stone,107,4.9,R,Rotten,11,27,Spilled,28.0,4,3,24
3288,Lovewrecked,USA,478070.0,Adventure,2005,Amanda Bynes,87,4.9,PG,Rotten,17,6,Unknown,60.47082875625534,0,1,5
2125,Human Traffic,UK,104257.0,Comedy,1999,John Simm,99,7.1,R,Rotten,59,29,Upright,89.0,9,17,12
3737,Get Smart,USA,130319208.0,Action,2008,Steve Carell,110,6.5,PG-13,Rotten,50,220,Upright,67.0,46,111,109
4500,Dark Shadows,USA,79727149.0,Comedy,2012,Johnny Depp,113,6.2,PG-13,Rotten,36,252,Spilled,46.0,51,90,162
1722,The Saint,USA,61355436.0,Action,1997,Val Kilmer,116,6.2,PG-13,Rotten,30,46,Upright,63.0,17,14,32
2942,Million Dollar Baby,USA,100492203.0,Drama,2004,Hilary Swank,132,8.1,PG-13,Certified Fresh,91,268,Upright,90.0,58,243,25
4972,Two Night Stand,USA,15600.0,Comedy,2014,Miles Teller,86,6.4,R,Rotten,37,46,Spilled,45.0,15,17,29
309,Rambo III,USA,53715611.0,Action,1988,Sylvester Stallone,102,5.7,R,Rotten,38,34,Spilled,45.0,5,13,21
3611,Surf's Up,USA,58867694.0,Animation,2007,Shia LaBeouf,85,6.7,PG,Certified Fresh,79,147,Upright,70.0,40,116,31
3497,No Country for Old Men,USA,74283625.0,Crime,2007,Tommy Lee Jones,122,8.1,R,Certified Fresh,93,283,Upright,86.0,60,264,19
2247,The Replacements,USA,44737059.0,Comedy,2000,Keanu Reeves,118,6.5,PG-13,Rotten,41,108,Upright,66.0,32,44,64
1899,Star Trek: Insurrection,USA,70117571.0,Action,1998,Patrick Stewart,103,6.4,PG,Rotten,54,68,Spilled,44.0,15,37,31
2525,Impostor,USA,6114237.0,Drama,2001,Shane Brolly,95,6.2,R,Rotten,22,93,Spilled,41.0,29,20,73
4285,Tiny Furniture,USA,389804.0,Comedy,2010,Lena Dunham,98,6.2,NR,Certified Fresh,80,98,Spilled,54.0,32,78,20
3544,Shrek the Third,USA,320706665.0,Animation,2007,Mike Myers,93,6.1,PG,Rotten,41,211,Spilled,52.0,50,86,125
1591,House Arrest,USA,6970578.0,Comedy,1996,Jamie Lee Curtis,108,5.7,PG,Rotten,10,30,Spilled,45.0,12,3,27
4822,Joe,USA,373375.0,Drama,2013,Nicolas Cage,117,6.9,R,Fresh,80,10,Upright,63.0,0,8,2
2293,Chopper,Australia,234259.0,Biography,2000,Eric Bana,94,7.2,R,Fresh,72,68,Upright,89.0,21,49,19
5298,The 5th Wave,USA,34912982.0,Action,2016,Chloë Grace Moretz,112,5.2,PG-13,Rotten,15,137,Spilled,38.0,32,21,116
4417,Silent House,France,12555230.0,Drama,2011,Elizabeth Olsen,86,5.3,R,Rotten,43,133,Spilled,30.0,34,57,76
4064,The Disappearance of Alice Creed,UK,166980.0,Crime,2009,Gemma Arterton,100,6.8,R,Certified Fresh,80,97,Upright,67.0,28,78,19
4041,G-Force,USA,119436770.0,Animation,2009,Will Arnett,88,5.1,PG,Rotten,22,126,Spilled,39.0,34,28,98
4739,Side Effects,USA,32172757.0,Crime,2013,Rooney Mara,106,7.1,R,Certified Fresh,82,217,Upright,70.0,54,179,38
5254,A Monster Calls,UK,3730982.0,Drama,2016,Lewis MacDougall,108,7.5,PG-13,Certified Fresh,86,257,Upright,81.0,48,220,37
1693,Dante's Peak,USA,67127760.0,Action,1997,Pierce Brosnan,108,5.9,PG-13,Rotten,26,31,Spilled,38.0,11,8,23
2402,Training Day,USA,76631907.0,Crime,2001,Denzel Washington,122,7.7,R,Fresh,72,158,Upright,89.0,38,114,44
2357,Tadpole,USA,2882062.0,Comedy,2000,Sigourney Weaver,78,6.2,PG-13,Certified Fresh,78,107,Spilled,57.0,33,83,24
4486,Pitch Perfect,USA,65001093.0,Comedy,2012,Anna Kendrick,112,7.2,PG-13,Certified Fresh,80,149,Upright,83.0,43,119,30
2023,Immortality,UK,21404.0,Crime,1998,Jude Law,98,6.3,R,Rotten,47,19,Spilled,54.0,5,9,10
4849,Concussion,USA,38361.0,Drama,2013,Robin Weigert,96,5.7,PG-13,Rotten,59,198,Upright,74.0,37,117,81
4935,Non-Stop,UK,92168600.0,Action,2014,Liam Neeson,106,7.0,PG-13,Fresh,61,222,Upright,63.0,46,136,86
931,Thunderheart,USA,22660758.0,Crime,1992,Val Kilmer,119,6.8,R,Fresh,88,17,Upright,75.0,3,15,2
1380,The Prophecy,USA,16115878.0,Action,1995,Christopher Walken,98,6.6,R,Rotten,43,23,Upright,64.0,2,10,13
532,Sing,USA,270329045.0,Animation,2016,Matthew McConaughey,108,7.1,PG,Fresh,72,180,Upright,72.0,33,129,51
604,Hamlet,USA,20710451.0,Drama,1990,Mel Gibson,135,6.8,PG,Fresh,74,34,Spilled,59.0,8,25,9
5182,The Perfect Guy,USA,57017904.0,Drama,2015,Sanaa Lathan,100,5.6,PG-13,Rotten,18,45,Spilled,51.0,15,8,37
1814,Buddy,USA,10005081.0,Adventure,1997,Rene Russo,84,4.8,PG,Rotten,25,20,Spilled,31.0,7,5,15
3501,Shooter,USA,47003582.0,Action,2007,Mark Wahlberg,124,7.2,R,Rotten,47,148,Upright,80.0,48,70,78
743,New Jack City,USA,47624253.0,Action,1991,Wesley Snipes,97,6.6,R,Fresh,77,30,Upright,80.0,9,23,7
1696,The Edge,USA,27779888.0,Action,1997,Anthony Hopkins,117,6.9,R,Fresh,63,49,Upright,70.0,12,31,18
4630,Hope Springs,USA,63536011.0,Comedy,2012,Meryl Streep,100,6.3,PG-13,Certified Fresh,75,173,Spilled,55.0,49,130,43
428,National Lampoon's Christmas Vacation,USA,71320000.0,Comedy,1989,Chevy Chase,97,7.6,PG-13,Fresh,65,37,Upright,86.0,7,24,13
5275,The Belko Experiment,USA,10164675.0,Action,2016,John Gallagher Jr.,89,6.1,R,Rotten,52,102,Spilled,40.0,18,53,49
3740,Let the Right One In,Sweden,2122065.0,Drama,2008,Kåre Hedebrant,115,7.9,R,Certified Fresh,98,189,Upright,90.0,44,185,4
122,Nobody's Fool,USA,39487686.0,Comedy,1994,Paul Newman,110,7.4,R,Certified Fresh,91,54,Upright,81.0,18,49,5
4172,Little Fockers,USA,148383780.0,Comedy,2010,Ben Stiller,98,5.5,PG-13,Rotten,9,148,Spilled,34.0,39,14,134
