id,name,country,gross,genre,year,star,runtime,rating,tomatometer_status,tomatometer_rating,tomatometer_count,audience_count,audience_top_critics_count,audience_fresh_critics_count,audience_rotten_critics_count
169,Innerspace,USA,25893810.0,Action,1987,Dennis Quaid,120,PG,Fresh,82,38,35463.0,7,31,7
170,Moonstruck,USA,80640528.0,Comedy,1987,Cher,102,PG,Certified Fresh,93,56,44723.0,15,52,4
171,Beverly Hills Cop II,USA,153665000.0,Action,1987,Eddie Murphy,100,R,Rotten,46,28,276170.0,3,13,15
172,Harry and the Hendersons,USA,29760613.0,Comedy,1987,John Lithgow,110,PG,Rotten,42,19,45661.0,0,8,11
173,The Last Emperor,UK,43984230.0,Biography,1987,John Lone,163,PG-13,Certified Fresh,91,65,39840.0,16,59,6
174,"Good Morning, Vietnam",USA,123922370.0,Biography,1987,Robin Williams,121,R,Certified Fresh,90,41,131361.0,5,37,4
175,Maurice,UK,3130592.0,Drama,1987,James Wilby,140,R,Fresh,90,21,7495.0,7,19,2
176,Prince of Darkness,USA,14182492.0,Horror,1987,Donald Pleasence,102,R,Rotten,58,36,13881.0,8,21,15
177,La Bamba,USA,54215416.0,Biography,1987,Lou Diamond Phillips,108,PG-13,Fresh,96,28,52187.0,6,27,1
178,Near Dark,USA,3369307.0,Action,1987,Adrian Pasdar,94,R,Certified Fresh,88,49,24757.0,9,43,6
179,Wings of Desire,West Germany,3210139.0,Drama,1987,Bruno Ganz,128,PG-13,Certified Fresh,98,53,34060.0,9,52,1
180,Less Than Zero,USA,12396383.0,Crime,1987,Andrew McCarthy,98,R,Rotten,52,25,12471.0,3,13,12
181,No Way Out,USA,35509515.0,Action,1987,Kevin Costner,114,R,Certified Fresh,91,43,20733.0,13,39,4
182,No Way Out,USA,35509515.0,Action,1987,Kevin Costner,114,NR,Fresh,90,10,582.0,0,9,1
183,*batteries not included,USA,32945797.0,Comedy,1987,Hume Cronyn,106,G,Fresh,60,15,71123.0,3,9,6
184,Baby Boom,USA,26712476.0,Comedy,1987,Diane Keaton,110,PG,Fresh,74,31,28434.0,7,23,8
185,Flowers in the Attic,USA,15151736.0,Drama,1987,Louise Fletcher,93,PG-13,Rotten,13,8,16698.0,1,1,7
186,Flowers in the Attic,USA,15151736.0,Drama,1987,Louise Fletcher,93,NR,Rotten,52,23,808.0,12,12,11
187,Broadcast News,USA,51249404.0,Comedy,1987,William Hurt,133,R,Certified Fresh,98,48,10973.0,11,47,1
188,Superman IV: The Quest for Peace,UK,15681020.0,Action,1987,Christopher Reeve,90,PG,Rotten,11,44,65926.0,11,5,39
189,Creepshow 2,USA,14000000.0,Comedy,1987,George Kennedy,92,R,Rotten,33,21,19366.0,5,7,14
190,Roxanne,USA,40050884.0,Comedy,1987,Steve Martin,107,PG,Fresh,89,37,47206.0,8,33,4
191,Dragnet,USA,57387516.0,Comedy,1987,Dan Aykroyd,106,PG-13,Rotten,50,34,35152.0,8,17,17
